Fecha/Hora, Voltaje V, Current mA, Temperature C,Carga AH
5/30/19 17:29,13.52,1.5,24.83,0.24
5/30/19 17:29,13.37,1.51,24.83,0.2408
5/30/19 17:29,13.44,1.52,24.89,0.2416
5/30/19 17:29,13.37,1.54,24.95,0.2428
5/30/19 17:29,13.34,1.54,24.95,0.24352
5/30/19 17:29,13.34,1.53,24.93,0.2437333333
5/30/19 17:29,13.34,1.52,24.95,0.2436571429
5/30/19 17:29,13.37,1.55,24.95,0.2442
5/30/19 17:29,13.34,1.53,24.99,0.2442666667
5/30/19 17:29,13.32,1.53,24.93,0.24432
5/30/19 17:30,13.34,1.53,24.99,0.2443636364
5/30/19 17:30,13.3,1.52,24.89,0.2442666667
5/30/19 17:30,13.39,1.51,24.95,0.2440615385
5/30/19 17:30,13.34,1.52,24.93,0.244
5/30/19 17:30,13.37,1.53,25.01,0.2440533333
5/30/19 17:30,13.3,1.5,25.05,0.2438
5/30/19 17:30,13.34,1.52,24.99,0.2437647059
5/30/19 17:30,13.32,1.52,24.93,0.2437333333
5/30/19 17:30,13.27,1.52,25.01,0.2437052632
5/30/19 17:30,13.27,1.52,24.93,0.24368
5/30/19 17:30,13.34,1.47,24.99,0.2432761905
5/30/19 17:32,13.37,1.52,25.13,0.2432727273
5/30/19 17:32,13.3,1.56,25.07,0.2435478261
5/30/19 17:32,13.32,1.49,25.13,0.2433333333
5/30/19 17:32,13.32,1.54,25.07,0.243456
5/30/19 17:32,13.32,1.52,25.11,0.2434461538
5/30/19 17:32,13.3,1.52,25.13,0.243437037
5/30/19 17:32,13.32,1.51,25.11,0.2433714286
5/30/19 17:32,13.3,1.52,25.19,0.2433655172
5/30/19 17:33,13.27,1.57,25.13,0.4568
5/30/19 17:33,13.27,1.47,25.23,0.4562903226
5/30/19 17:33,13.3,1.56,25.11,0.45665625
5/30/19 17:33,13.27,1.56,25.13,0.457
5/30/19 17:33,13.3,1.51,25.11,0.4568823529
5/30/19 17:33,13.3,1.56,25.11,0.4572
5/30/19 17:33,13.27,1.54,25.13,0.4573333333
5/30/19 17:33,13.32,1.55,25.13,0.4575405405
5/30/19 17:33,13.32,1.53,25.13,0.4575789474
5/30/19 17:33,13.32,1.53,25.13,0.4576153846
5/30/19 17:33,13.32,1.54,25.17,0.457725
5/30/19 17:33,13.3,1.54,25.13,0.4578292683
5/30/19 17:33,13.34,1.54,25.13,0.4579285714
5/30/19 17:33,13.3,1.54,25.17,0.4580232558
